T,V,P,RH,E
273.39,420.12,91.84,57.41,1778.12
195.26,248.88,92.29,35.21,1824.16
377.52,360.42,92.31,27.69,1761.72
171.6,244.98,91.61,56.99,1889.64
222.56,353.7,92.43,54.25,1806.68
74.23,247.86,91.2,53.69,1943.32
197.73,261,92.87,49.24,1856.32
122.33,249.24,92.68,49.31,1926.36
206.57,250.2,92.63,49.61,1853.32
356.2,419.04,91.18,45.89,1722.16
221,270.54,92.14,52.99,1835.76
75.53,275.22,91.78,56.63,1918.64
297.83,360.42,92.37,35.83,1784.76
193.44,253.68,91.57,42.78,1866.92
414.31,427.32,91.47,27.4,1748
99.45,246.06,93.12,58.3,1903.56
331.5,408.48,91.92,43.72,1744.28
374.92,453.6,92.58,32.38,1770.76
304.98,307.14,91.78,43.93,1779.28
283.92,270.54,92.18,27.67,1803.52
314.08,293.88,92.29,25.53,1837.08
98.15,257.1,91.93,55.95,1939.72
96.85,258.78,92.66,51.79,1942.4
254.93,339.18,92.7,46.28,1816.88
235.95,247.38,90.35,36.73,1825.28
267.93,360.6,91.89,48.34,1801.84
398.71,437.16,91.3,31.63,1731.04
143.39,268.68,92.11,50.31,1880.68
277.55,348.96,92.47,40.6,1811.32
314.6,347.1,92.1,42.17,1787.48
321.49,426.84,91.73,41.32,1750.2
166.92,303.54,92.73,52.85,1883.84
382.85,409.44,91.59,19.69,1730.12
331.11,364.5,91.57,39.55,1753.68
325.52,422.16,91.51,45.55,1745.88
384.8,431.64,91.55,37.59,1716.08
354.9,390.72,92.39,26.92,1771.12
302.51,407.4,91.47,42.61,1789
130.39,258.78,92.26,42.05,1928.64
79.69,236.88,91.38,32.1,1936.48
322.66,437.94,91.62,50.83,1742.72
179.53,241.2,92.15,52.9,1856.92
189.67,247.38,90.86,52,1867.32
137.28,241.32,91.37,53.83,1912.08
325.26,364.62,92.43,41.91,1764.84
317.46,378.42,91.95,40.43,1778.88
189.54,251.52,93.67,37.18,1850.76
284.7,333,92.62,36.16,1826.08
177.06,254.04,92.53,53.8,1859.16
136.24,240,92.85,53.11,1915.44
271.05,355.26,92.08,45.58,1777.76
347.88,290.46,91.87,28.43,1762.52
192.4,269.52,93.1,55,1856.04
277.03,351.96,92.06,41.62,1807.84
362.57,408.72,92.07,29.23,1742.76
411.45,397.5,91.69,35.43,1749.4
80.21,235.98,92.05,55.99,1966.16
184.99,277.08,92.49,52.37,1855.44
255.84,339.9,92.8,40.35,1827.56
229.97,278.16,92.69,51.98,1851.24
287.95,262.62,91.89,36.05,1793.84
301.99,379.86,92.05,45.06,1766
254.67,399.24,92.07,51.5,1788.64
139.36,236.1,92.3,51.86,1920.72
124.15,263.94,92.77,58.37,1904.24
349.31,415.38,92.06,32.72,1735.56
216.58,246.96,91.58,46.09,1853.56
360.88,416.4,91.3,43.35,1722.72
185.12,248.4,92.7,42.19,1867.52
278.07,313.8,91.75,47.86,1787.48
307.32,420.24,91.92,50.01,1740.84
246.22,281.58,91.84,45.27,1765.64
383.76,451.98,91.15,42.38,1733.56
188.63,256.62,92.5,49.17,1853.48
428.48,418.5,91.71,24.14,1742.24
220.35,353.16,92.36,52.68,1812.8
346.32,374.64,91.98,43.48,1754.68
188.37,257.16,92.18,52.92,1873.6
178.1,259.32,92,42.94,1855.96
415.09,435.48,91.54,33.76,1700.56
282.88,361.62,92.63,51.04,1787.44
285.61,408.72,92.05,45.07,1773.56
153.66,247.56,92.79,54.68,1867.8
412.1,456.54,91.55,43.43,1765.44
256.23,260.58,91.78,39.43,1824.96
368.81,429.84,91.58,42.64,1739.64
406.38,422.16,91.5,36.28,1752.6
231.4,278.88,91.57,48.79,1810.64
293.28,284.58,91.52,32.89,1794.6
183.69,260.46,92.3,33.38,1847.84
132.08,250.74,92.85,31.44,1891
148.46,242.1,91.96,49.63,1914.8
372.06,421.92,91.72,28,1724.12
385.71,442.02,91.5,38.99,1717.12
332.15,429.84,91.74,47.61,1757.48
267.02,356.34,92.19,50.49,1781.64
342.03,427.74,91.81,50.5,1731.68
99.32,253.68,91.68,50.05,1934.96
140.66,252.12,90.55,59.6,1901.84
304.46,378.42,91.97,45.49,1776.92
340.08,359.22,92.11,43.15,1786.92
193.83,235.68,92.23,45.14,1877.36
369.59,417.54,91.71,44,1757.04
212.03,409.68,91.27,59.17,1801.32
158.86,244.26,92.84,48.5,1908.28
182.52,265.26,92.9,51.67,1874.56
92.43,250.44,92.94,54.41,1951.4
274.43,250.02,92.04,31.72,1841.32
320.19,392.28,91.86,24.41,1784.92
309.27,356.64,92.05,47.69,1794.68
130.26,254.64,92.23,59.5,1914
99.32,229.08,92.51,47.11,1937.8
307.58,372.48,92.95,38.48,1788.24
291.85,346.56,92.5,35.16,1802.44
185.38,265.2,92.71,45.88,1851.48
117.13,244.62,92.94,54.18,1883.36
319.8,292.68,92.55,44.23,1768.92
297.96,383.64,92.66,25.61,1776.88
125.19,246.84,93.45,52.73,1878.92
322.92,430.38,91.8,49.45,1745.44
401.05,413.64,91.57,41.39,1704.4
173.55,241.62,91.44,29.85,1898.72
411.06,384.3,91.9,35.36,1756.36
291.98,350.94,91.95,42.32,1793.84
316.94,383.46,91.78,47.47,1784.08
394.03,422.16,91.5,35.95,1756.44
333.97,373.56,91.94,44.45,1745.44
375.05,349.98,92.16,24.83,1776
245.18,253.08,91.01,59.15,1828.28
324.48,391.08,92.06,45.71,1744.96
121.16,217.8,93.42,43.95,1918.08
305.89,413.64,91.59,41.5,1749.92
288.08,387.78,92.8,41.08,1807.44
337.35,359.52,91.82,45.63,1775.72
442.39,441.36,91.5,30.64,1761.16
291.72,348.96,92.48,38.21,1810.84
72.8,233.46,92.66,51.2,1964.4
346.71,356.64,92,35.3,1765.16
299.26,380.82,92.02,48.37,1774.64
149.76,235.08,93.04,49.97,1897.4
398.97,431.88,91.32,39.52,1721.32
273.52,392.76,92.47,37.81,1808.48
128.18,230.28,92.57,51.21,1918.24
294.45,365.58,91.49,51.08,1762.08
313.69,293.88,92.25,24.08,1841.52
291.98,290.46,91.7,48.51,1770.28
308.88,369,91.74,41.11,1764.64
135.46,239.76,93.2,57.41,1883.24
181.09,241.44,92.53,53.01,1877
152.88,245.76,93.02,48.79,1900.72
211.9,237.78,91.33,51.37,1856.44
94.12,234.24,92.64,41.21,1942.28
308.49,354.9,92.19,37.59,1776.28
